timestamp,ticker,missing_field
2026-02-02T14:23:23.723928,AAPL,debt_to_ebitda
2026-02-02T14:23:23.724185,AAPL,altman_z_score
2026-02-02T14:23:23.724678,AAPL,revenue_growth_3y
2026-02-02T14:23:24.732708,MSFT,debt_to_ebitda
2026-02-02T14:23:24.732980,MSFT,altman_z_score
2026-02-02T14:23:24.733530,MSFT,revenue_growth_3y
2026-02-02T14:23:25.690638,PLTR,debt_to_ebitda
2026-02-02T14:23:25.690889,PLTR,altman_z_score
2026-02-02T14:23:25.691388,PLTR,revenue_growth_3y
2026-02-02T14:23:26.883139,F,debt_to_ebitda
2026-02-02T14:23:26.883263,F,altman_z_score
2026-02-02T14:23:26.883316,F,revenue_growth_3y
2026-02-02T14:23:27.919778,INTC,peg_ratio
2026-02-02T14:23:27.919992,INTC,debt_to_ebitda
2026-02-02T14:23:27.920496,INTC,altman_z_score
2026-02-02T14:23:27.920625,INTC,revenue_growth_3y
2026-02-02T14:23:29.403571,BAC,debt_to_ebitda
2026-02-02T14:23:29.403819,BAC,altman_z_score
2026-02-02T14:23:29.404263,BAC,revenue_growth_3y
2026-02-02T14:23:30.582339,SNAP,peg_ratio
2026-02-02T14:23:30.582576,SNAP,debt_to_ebitda
2026-02-02T14:23:30.583080,SNAP,altman_z_score
2026-02-02T14:23:30.583161,SNAP,revenue_growth_3y
2026-02-02T14:23:31.606683,TDOC,peg_ratio
2026-02-02T14:23:31.606930,TDOC,debt_to_ebitda
2026-02-02T14:23:31.607464,TDOC,altman_z_score
2026-02-02T14:23:31.607589,TDOC,revenue_growth_3y
2026-02-02T14:23:37.110359,PARA,peg_ratio
2026-02-02T14:23:37.110759,PARA,debt_to_ebitda
2026-02-02T14:23:37.111205,PARA,altman_z_score
2026-02-02T14:23:37.111331,PARA,revenue_growth_3y
2026-02-02T14:29:09.158884,NVDA,debt_to_ebitda
2026-02-02T14:29:09.159102,NVDA,altman_z_score
2026-02-02T14:29:09.159159,NVDA,revenue_growth_3y
2026-02-02T14:29:10.383989,AAPL,debt_to_ebitda
2026-02-02T14:29:10.384111,AAPL,altman_z_score
2026-02-02T14:29:10.384386,AAPL,revenue_growth_3y
2026-02-02T14:29:11.599664,MSFT,debt_to_ebitda
2026-02-02T14:29:11.599875,MSFT,altman_z_score
2026-02-02T14:29:11.600260,MSFT,revenue_growth_3y
2026-02-02T14:29:12.938367,PLTR,debt_to_ebitda
2026-02-02T14:29:12.938609,PLTR,altman_z_score
2026-02-02T14:29:12.939183,PLTR,revenue_growth_3y
2026-02-02T14:29:14.273657,F,debt_to_ebitda
2026-02-02T14:29:14.273864,F,altman_z_score
2026-02-02T14:29:14.273959,F,revenue_growth_3y
2026-02-02T14:29:15.987451,INTC,peg_ratio
2026-02-02T14:29:15.987631,INTC,debt_to_ebitda
2026-02-02T14:29:15.988099,INTC,altman_z_score
2026-02-02T14:29:15.988207,INTC,revenue_growth_3y
2026-02-02T14:29:17.141032,BAC,debt_to_ebitda
2026-02-02T14:29:17.141275,BAC,altman_z_score
2026-02-02T14:29:17.141711,BAC,revenue_growth_3y
2026-02-02T14:29:18.151943,SNAP,peg_ratio
2026-02-02T14:29:18.152186,SNAP,debt_to_ebitda
2026-02-02T14:29:18.152667,SNAP,altman_z_score
2026-02-02T14:29:18.152800,SNAP,revenue_growth_3y
2026-02-02T14:29:19.389325,TDOC,peg_ratio
2026-02-02T14:29:19.389602,TDOC,debt_to_ebitda
2026-02-02T14:29:19.389855,TDOC,altman_z_score
2026-02-02T14:29:19.389935,TDOC,revenue_growth_3y
2026-02-02T14:29:24.143236,PARA,peg_ratio
2026-02-02T14:29:24.143544,PARA,debt_to_ebitda
2026-02-02T14:29:24.143939,PARA,altman_z_score
2026-02-02T14:29:24.144078,PARA,revenue_growth_3y
2026-02-02T14:30:12.465153,NVDA,debt_to_ebitda
2026-02-02T14:30:12.465662,NVDA,altman_z_score
2026-02-02T14:30:12.465758,NVDA,revenue_growth_3y
2026-02-02T14:30:13.605597,AAPL,debt_to_ebitda
2026-02-02T14:30:13.605881,AAPL,altman_z_score
2026-02-02T14:30:13.606271,AAPL,revenue_growth_3y
2026-02-02T14:30:14.604309,MSFT,debt_to_ebitda
2026-02-02T14:30:14.604568,MSFT,altman_z_score
2026-02-02T14:30:14.605145,MSFT,revenue_growth_3y
2026-02-02T14:30:15.887083,PLTR,debt_to_ebitda
2026-02-02T14:30:15.887362,PLTR,altman_z_score
2026-02-02T14:30:15.887925,PLTR,revenue_growth_3y
2026-02-02T14:30:16.755988,F,debt_to_ebitda
2026-02-02T14:30:16.756249,F,altman_z_score
2026-02-02T14:30:16.756367,F,revenue_growth_3y
2026-02-02T14:30:18.142729,INTC,peg_ratio
2026-02-02T14:30:18.143007,INTC,debt_to_ebitda
2026-02-02T14:30:18.143450,INTC,altman_z_score
2026-02-02T14:30:18.143561,INTC,revenue_growth_3y
2026-02-02T14:30:19.192549,BAC,debt_to_ebitda
2026-02-02T14:30:19.192777,BAC,altman_z_score
2026-02-02T14:30:19.192900,BAC,revenue_growth_3y
2026-02-02T14:30:20.177223,SNAP,peg_ratio
2026-02-02T14:30:20.177374,SNAP,debt_to_ebitda
2026-02-02T14:30:20.177770,SNAP,altman_z_score
2026-02-02T14:30:20.177852,SNAP,revenue_growth_3y
2026-02-02T14:30:21.083032,TDOC,peg_ratio
2026-02-02T14:30:21.083290,TDOC,debt_to_ebitda
2026-02-02T14:30:21.083799,TDOC,altman_z_score
2026-02-02T14:30:21.083908,TDOC,revenue_growth_3y
2026-02-02T14:30:26.315253,PARA,peg_ratio
2026-02-02T14:30:26.315479,PARA,debt_to_ebitda
2026-02-02T14:30:26.315866,PARA,altman_z_score
2026-02-02T14:30:26.315954,PARA,revenue_growth_3y
